ST,STATE,CHARACTERISTIC,PUMS_EST_18,PUMS_SE_18,PUMS_MOE_18
01,Alabama,Total population,4887871,0,0
01,Alabama,Housing unit population (RELP=0-15),4770428,0,0
01,Alabama,GQ population (RELP=16-17),117443,0,0
01,Alabama,GQ institutional population (RELP=16),65271,7,11
01,Alabama,GQ noninstitutional population (RELP=17),52172,7,11
01,Alabama,Total males (SEX=1),2364059,3736,6146
01,Alabama,Total females (SEX=2),2523812,3736,6146
01,Alabama,Age 0-4,285455,2845,4681
01,Alabama,Age 5-9,284411,5531,9098
01,Alabama,Age 10-14,332341,5522,9083
01,Alabama,Age 15-19,322834,4612,7586
01,Alabama,Age 20-24,322878,4239,6972
01,Alabama,Age 25-34,638007,4842,7965
01,Alabama,Age 35-44,596730,4459,7335
01,Alabama,Age 45-54,622852,4658,7662
01,Alabama,Age 55-59,328782,5334,8775
01,Alabama,Age 60-64,324983,5263,8657
01,Alabama,Age 65-74,494448,2466,4057
01,Alabama,Age 75-84,253407,3360,5527
01,Alabama,Age 85 and over,80743,2985,4910
01,Alabama,Total housing units (TYPE=1),2274711,172,284
01,Alabama,Total occupied units,1855186,7184,11818
01,Alabama,"Owner occupied units (TEN in 1,2)",1262089,9388,15443
01,Alabama,"Renter occupied units (TEN in 3,4)",593097,8316,13679
01,Alabama,Owned with a mortgage (TEN=1),700041,8273,13609
01,Alabama,Owned free and clear (TEN=2),562048,6831,11237
01,Alabama,Rented for cash (TEN=3),529300,8303,13659
01,Alabama,No cash rent (TEN=4),63797,3409,5608
01,Alabama,Total vacant units,419525,7225,11885
01,Alabama,For rent (VACS=1),65885,2996,4929
01,Alabama,For sale only (VACS=3),24116,2254,3708
01,Alabama,"All Other Vacant (VACS in 2,4,5,6,7)",329524,6430,10578
02,Alaska,Total population,737438,0,0
02,Alaska,Housing unit population (RELP=0-15),710666,0,0
02,Alaska,GQ population (RELP=16-17),26772,0,0
02,Alaska,GQ institutional population (RELP=16),6450,3,5
02,Alaska,GQ noninstitutional population (RELP=17),20322,3,5
02,Alaska,Total males (SEX=1),379637,2673,4396
02,Alaska,Total females (SEX=2),357801,2673,4396
02,Alaska,Age 0-4,49655,1628,2677
02,Alaska,Age 5-9,53876,2729,4489
02,Alaska,Age 10-14,52805,2591,4263
02,Alaska,Age 15-19,47345,1912,3145
02,Alaska,Age 20-24,49935,2086,3432
02,Alaska,Age 25-34,114031,2407,3959
02,Alaska,Age 35-44,98242,2900,4771
02,Alaska,Age 45-54,90144,2974,4893
02,Alaska,Age 55-59,45549,2908,4784
02,Alaska,Age 60-64,48741,2640,4342
02,Alaska,Age 65-74,59433,1597,2627
02,Alaska,Age 75-84,22529,1234,2029
02,Alaska,Age 85 and over,5153,781,1285
02,Alaska,Total housing units (TYPE=1),318352,121,199
02,Alaska,Total occupied units,254543,1987,3268
02,Alaska,"Owner occupied units (TEN in 1,2)",167620,3264,5369
02,Alaska,"Renter occupied units (TEN in 3,4)",86923,3464,5699
02,Alaska,Owned with a mortgage (TEN=1),97333,4100,6744
02,Alaska,Owned free and clear (TEN=2),70287,3277,5391
02,Alaska,Rented for cash (TEN=3),79460,3399,5591
02,Alaska,No cash rent (TEN=4),7463,993,1634
02,Alaska,Total vacant units,63809,1993,3279
02,Alaska,For rent (VACS=1),8347,1673,2752
02,Alaska,For sale only (VACS=3),4362,1305,2146
02,Alaska,"All Other Vacant (VACS in 2,4,5,6,7)",51100,2075,3413
04,Arizona,Total population,7171646,0,0
04,Arizona,Housing unit population (RELP=0-15),7012204,0,0
04,Arizona,GQ population (RELP=16-17),159442,0,0
04,Arizona,GQ institutional population (RELP=16),87543,7,11
04,Arizona,GQ noninstitutional population (RELP=17),71899,7,11
04,Arizona,Total males (SEX=1),3565613,3359,5526
04,Arizona,Total females (SEX=2),3606033,3359,5526
04,Arizona,Age 0-4,431790,2114,3477
04,Arizona,Age 5-9,446798,5706,9387
04,Arizona,Age 10-14,485123,5941,9773
04,Arizona,Age 15-19,468620,3626,5965
04,Arizona,Age 20-24,498512,3760,6185
04,Arizona,Age 25-34,975848,4580,7534
04,Arizona,Age 35-44,885520,3387,5572
04,Arizona,Age 45-54,851689,3359,5525
04,Arizona,Age 55-59,429483,6031,9920
04,Arizona,Age 60-64,440544,6519,10724
04,Arizona,Age 65-74,726316,2176,3580
04,Arizona,Age 75-84,397924,4446,7313
04,Arizona,Age 85 and over,133479,3951,6499
04,Arizona,Total housing units (TYPE=1),3035902,247,406
04,Arizona,Total occupied units,2614297,6872,11304
04,Arizona,"Owner occupied units (TEN in 1,2)",1695697,9347,15376
04,Arizona,"Renter occupied units (TEN in 3,4)",918600,9306,15309
04,Arizona,Owned with a mortgage (TEN=1),1072107,9350,15380
04,Arizona,Owned free and clear (TEN=2),623590,6806,11196
04,Arizona,Rented for cash (TEN=3),874078,9239,15198
04,Arizona,No cash rent (TEN=4),44522,2330,3832
04,Arizona,Total vacant units,421605,6901,11351
04,Arizona,For rent (VACS=1),56683,2755,4531
04,Arizona,For sale only (VACS=3),30597,2736,4501
04,Arizona,"All Other Vacant (VACS in 2,4,5,6,7)",334325,6301,10365
05,Arkansas,Total population,3013825,0,0
05,Arkansas,Housing unit population (RELP=0-15),2929598,0,0
05,Arkansas,GQ population (RELP=16-17),84227,0,0
05,Arkansas,GQ institutional population (RELP=16),49443,6,10
05,Arkansas,GQ noninstitutional population (RELP=17),34784,6,10
05,Arkansas,Total males (SEX=1),1473442,3113,5121
05,Arkansas,Total females (SEX=2),1540383,3113,5121
05,Arkansas,Age 0-4,188177,2093,3443
05,Arkansas,Age 5-9,193556,4385,7213
05,Arkansas,Age 10-14,205468,4424,7277
05,Arkansas,Age 15-19,204507,3749,6167
05,Arkansas,Age 20-24,202733,4017,6609
05,Arkansas,Age 25-34,390100,3531,5808
05,Arkansas,Age 35-44,368733,3216,5291
05,Arkansas,Age 45-54,369787,3262,5367
05,Arkansas,Age 55-59,197401,3502,5760
05,Arkansas,Age 60-64,187510,3461,5694
05,Arkansas,Age 65-74,295924,1789,2943
05,Arkansas,Age 75-84,155844,2443,4019
05,Arkansas,Age 85 and over,54085,2525,4154
05,Arkansas,Total housing units (TYPE=1),1380521,119,196
05,Arkansas,Total occupied units,1156348,4494,7393
05,Arkansas,"Owner occupied units (TEN in 1,2)",756466,5993,9858
05,Arkansas,"Renter occupied units (TEN in 3,4)",399882,5104,8395
05,Arkansas,Owned with a mortgage (TEN=1),407129,5665,9319
05,Arkansas,Owned free and clear (TEN=2),349337,5289,8701
05,Arkansas,Rented for cash (TEN=3),365581,5267,8664
05,Arkansas,No cash rent (TEN=4),34301,1839,3025
05,Arkansas,Total vacant units,224173,4481,7372
05,Arkansas,For rent (VACS=1),35935,2786,4583
05,Arkansas,For sale only (VACS=3),16809,1721,2831
05,Arkansas,"All Other Vacant (VACS in 2,4,5,6,7)",171429,4710,7748
06,California,Total population,39557045,0,0
06,California,Housing unit population (RELP=0-15),38731195,0,0
06,California,GQ population (RELP=16-17),825850,0,0
06,California,GQ institutional population (RELP=16),362466,298,491
06,California,GQ noninstitutional population (RELP=17),463384,298,491
06,California,Total males (SEX=1),19660202,7980,13127
06,California,Total females (SEX=2),19896843,7980,13127
06,California,Age 0-4,2430611,3424,5633
06,California,Age 5-9,2413300,13213,21736
06,California,Age 10-14,2626959,13358,21974
06,California,Age 15-19,2546054,7883,12968
06,California,Age 20-24,2711661,8495,13974
06,California,Age 25-34,6039417,11100,18260
06,California,Age 35-44,5282120,8254,13577
06,California,Age 45-54,5060056,7193,11832
06,California,Age 55-59,2483051,13555,22297
06,California,Age 60-64,2292143,13365,21986
06,California,Age 65-74,3306482,6136,10094
06,California,Age 75-84,1631219,9288,15278
06,California,Age 85 and over,733972,8038,13222
06,California,Total housing units (TYPE=1),14277867,614,1010
06,California,Total occupied units,13072113,13065,21491
06,California,"Owner occupied units (TEN in 1,2)",7177712,20257,33323
06,California,"Renter occupied units (TEN in 3,4)",5894401,22618,37207
06,California,Owned with a mortgage (TEN=1),5001372,18965,31197
06,California,Owned free and clear (TEN=2),2176340,14958,24606
06,California,Rented for cash (TEN=3),5721831,22854,37594
06,California,No cash rent (TEN=4),172570,4752,7817
06,California,Total vacant units,1205754,13077,21512
06,California,For rent (VACS=1),244146,6844,11259
06,California,For sale only (VACS=3),89960,4824,7935
06,California,"All Other Vacant (VACS in 2,4,5,6,7)",871648,11968,19687
08,Colorado,Total population,5695564,0,0
08,Colorado,Housing unit population (RELP=0-15),5574416,0,0
08,Colorado,GQ population (RELP=16-17),121148,0,0
08,Colorado,GQ institutional population (RELP=16),58333,37,60
08,Colorado,GQ noninstitutional population (RELP=17),62815,37,60
08,Colorado,Total males (SEX=1),2863281,3691,6071
08,Colorado,Total females (SEX=2),2832283,3691,6071
08,Colorado,Age 0-4,329057,1928,3171
08,Colorado,Age 5-9,356697,5474,9004
08,Colorado,Age 10-14,363566,5335,8776
08,Colorado,Age 15-19,371295,4500,7402
08,Colorado,Age 20-24,376472,3668,6034
08,Colorado,Age 25-34,884164,4544,7474
08,Colorado,Age 35-44,786081,4521,7437
08,Colorado,Age 45-54,712855,3588,5903
08,Colorado,Age 55-59,355080,5136,8448
08,Colorado,Age 60-64,351284,5124,8429
08,Colorado,Age 65-74,502611,2306,3794
08,Colorado,Age 75-84,216823,3688,6066
08,Colorado,Age 85 and over,89579,3074,5057
08,Colorado,Total housing units (TYPE=1),2424128,371,610
08,Colorado,Total occupied units,2176758,4588,7547
08,Colorado,"Owner occupied units (TEN in 1,2)",1420373,7973,13116
08,Colorado,"Renter occupied units (TEN in 3,4)",756385,8365,13761
08,Colorado,Owned with a mortgage (TEN=1),997333,8507,13993
08,Colorado,Owned free and clear (TEN=2),423040,6206,10208
08,Colorado,Rented for cash (TEN=3),732777,7939,13060
08,Colorado,No cash rent (TEN=4),23608,1806,2971
08,Colorado,Total vacant units,247370,4619,7599
08,Colorado,For rent (VACS=1),40684,2815,4630
08,Colorado,For sale only (VACS=3),15540,1973,3246
08,Colorado,"All Other Vacant (VACS in 2,4,5,6,7)",191146,4491,7388
09,Connecticut,Total population,3572665,0,0
09,Connecticut,Housing unit population (RELP=0-15),3459421,0,0
09,Connecticut,GQ population (RELP=16-17),113244,0,0
09,Connecticut,GQ institutional population (RELP=16),41340,106,174
09,Connecticut,GQ noninstitutional population (RELP=17),71904,106,174
09,Connecticut,Total males (SEX=1),1740173,2663,4381
09,Connecticut,Total females (SEX=2),1832492,2663,4381
09,Connecticut,Age 0-4,180739,1578,2596
09,Connecticut,Age 5-9,191739,3713,6107
09,Connecticut,Age 10-14,223985,3882,6386
09,Connecticut,Age 15-19,239611,2798,4603
09,Connecticut,Age 20-24,243506,2635,4335
09,Connecticut,Age 25-34,440320,3026,4977
09,Connecticut,Age 35-44,429977,2887,4749
09,Connecticut,Age 45-54,496639,2814,4629
09,Connecticut,Age 55-59,256729,4760,7830
09,Connecticut,Age 60-64,257535,4478,7367
09,Connecticut,Age 65-74,340682,1661,2732
09,Connecticut,Age 75-84,182908,2666,4385
09,Connecticut,Age 85 and over,88295,2703,4446
09,Connecticut,Total housing units (TYPE=1),1521123,123,202
09,Connecticut,Total occupied units,1378087,4210,6926
09,Connecticut,"Owner occupied units (TEN in 1,2)",908765,6244,10271
09,Connecticut,"Renter occupied units (TEN in 3,4)",469322,7300,12008
09,Connecticut,Owned with a mortgage (TEN=1),603662,6031,9920
09,Connecticut,Owned free and clear (TEN=2),305103,4350,7156
09,Connecticut,Rented for cash (TEN=3),451342,6993,11504
09,Connecticut,No cash rent (TEN=4),17980,1487,2447
09,Connecticut,Total vacant units,143036,4228,6954
09,Connecticut,For rent (VACS=1),28732,2169,3568
09,Connecticut,For sale only (VACS=3),14360,1581,2600
09,Connecticut,"All Other Vacant (VACS in 2,4,5,6,7)",99944,3675,6045
10,Delaware,Total population,967171,0,0
10,Delaware,Housing unit population (RELP=0-15),942211,0,0
10,Delaware,GQ population (RELP=16-17),24960,0,0
10,Delaware,GQ institutional population (RELP=16),11547,2,4
10,Delaware,GQ noninstitutional population (RELP=17),13413,2,4
10,Delaware,Total males (SEX=1),466897,1321,2173
10,Delaware,Total females (SEX=2),500274,1321,2173
10,Delaware,Age 0-4,54855,1103,1815
10,Delaware,Age 5-9,52343,2174,3577
10,Delaware,Age 10-14,61809,2212,3639
10,Delaware,Age 15-19,58512,1520,2500
10,Delaware,Age 20-24,59817,1750,2879
10,Delaware,Age 25-34,125932,2030,3339
10,Delaware,Age 35-44,111950,1663,2735
10,Delaware,Age 45-54,124840,1731,2847
10,Delaware,Age 55-59,65529,2494,4103
10,Delaware,Age 60-64,69821,2443,4019
10,Delaware,Age 65-74,108775,1149,1889
10,Delaware,Age 75-84,53829,1610,2649
10,Delaware,Age 85 and over,19159,1340,2205
10,Delaware,Total housing units (TYPE=1),438659,116,190
10,Delaware,Total occupied units,367672,2391,3933
10,Delaware,"Owner occupied units (TEN in 1,2)",262799,3419,5625
10,Delaware,"Renter occupied units (TEN in 3,4)",104873,3503,5763
10,Delaware,Owned with a mortgage (TEN=1),164636,3202,5268
10,Delaware,Owned free and clear (TEN=2),98163,2992,4922
10,Delaware,Rented for cash (TEN=3),99661,3520,5790
10,Delaware,No cash rent (TEN=4),5212,736,1211
10,Delaware,Total vacant units,70987,2394,3939
10,Delaware,For rent (VACS=1),6573,1072,1763
10,Delaware,For sale only (VACS=3),2345,546,898
10,Delaware,"All Other Vacant (VACS in 2,4,5,6,7)",62069,2337,3844
11,District of Columbia,Total population,702455,0,0
11,District of Columbia,Housing unit population (RELP=0-15),662826,0,0
11,District of Columbia,GQ population (RELP=16-17),39629,0,0
11,District of Columbia,GQ institutional population (RELP=16),6762,2,3
11,District of Columbia,GQ noninstitutional population (RELP=17),32867,2,3
11,District of Columbia,Total males (SEX=1),332912,1132,1862
11,District of Columbia,Total females (SEX=2),369543,1132,1862
11,District of Columbia,Age 0-4,45790,415,682
11,District of Columbia,Age 5-9,33643,1390,2286
11,District of Columbia,Age 10-14,32234,1389,2285
11,District of Columbia,Age 15-19,38321,1180,1941
11,District of Columbia,Age 20-24,51648,1048,1725
11,District of Columbia,Age 25-34,163687,1304,2146
11,District of Columbia,Age 35-44,105856,906,1490
11,District of Columbia,Age 45-54,75800,793,1305
11,District of Columbia,Age 55-59,36651,1946,3201
11,District of Columbia,Age 60-64,33929,1954,3214
11,District of Columbia,Age 65-74,47728,726,1194
11,District of Columbia,Age 75-84,26434,1086,1786
11,District of Columbia,Age 85 and over,10734,1013,1667
11,District of Columbia,Total housing units (TYPE=1),319579,64,105
11,District of Columbia,Total occupied units,287477,1673,2752
11,District of Columbia,"Owner occupied units (TEN in 1,2)",121901,2855,4697
11,District of Columbia,"Renter occupied units (TEN in 3,4)",165576,3236,5323
11,District of Columbia,Owned with a mortgage (TEN=1),91829,2458,4043
11,District of Columbia,Owned free and clear (TEN=2),30072,1420,2335
11,District of Columbia,Rented for cash (TEN=3),162776,3180,5232
11,District of Columbia,No cash rent (TEN=4),2800,547,901
11,District of Columbia,Total vacant units,32102,1678,2760
11,District of Columbia,For rent (VACS=1),12212,1221,2008
11,District of Columbia,For sale only (VACS=3),1673,465,765
11,District of Columbia,"All Other Vacant (VACS in 2,4,5,6,7)",18217,1322,2175
12,Florida,Total population,21299325,0,0
12,Florida,Housing unit population (RELP=0-15),20868964,0,0
12,Florida,GQ population (RELP=16-17),430361,0,0
12,Florida,GQ institutional population (RELP=16),250693,10,17
12,Florida,GQ noninstitutional population (RELP=17),179668,10,17
12,Florida,Total males (SEX=1),10397145,5543,9118
12,Florida,Total females (SEX=2),10902180,5543,9118
12,Florida,Age 0-4,1132360,2827,4650
12,Florida,Age 5-9,1127520,11273,18543
12,Florida,Age 10-14,1247238,10746,17676
12,Florida,Age 15-19,1232241,5986,9846
12,Florida,Age 20-24,1258716,6514,10716
12,Florida,Age 25-34,2751994,7856,12924
12,Florida,Age 35-44,2589325,7130,11728
12,Florida,Age 45-54,2741164,5835,9599
12,Florida,Age 55-59,1453557,9748,16036
12,Florida,Age 60-64,1404101,9506,15638
12,Florida,Age 65-74,2404330,4307,7085
12,Florida,Age 75-84,1396895,7901,12997
12,Florida,Age 85 and over,559884,8076,13285
12,Florida,Total housing units (TYPE=1),9547762,364,598
12,Florida,Total occupied units,7809361,12658,20822
12,Florida,"Owner occupied units (TEN in 1,2)",5159383,15893,26144
12,Florida,"Renter occupied units (TEN in 3,4)",2649978,14957,24605
12,Florida,Owned with a mortgage (TEN=1),2896818,14266,23468
12,Florida,Owned free and clear (TEN=2),2262565,11208,18437
12,Florida,Rented for cash (TEN=3),2543574,14961,24611
12,Florida,No cash rent (TEN=4),106404,3661,6023
12,Florida,Total vacant units,1738401,12669,20840
12,Florida,For rent (VACS=1),251392,6324,10402
12,Florida,For sale only (VACS=3),110054,4668,7679
12,Florida,"All Other Vacant (VACS in 2,4,5,6,7)",1376955,12593,20715
13,Georgia,Total population,10519475,0,0
13,Georgia,Housing unit population (RELP=0-15),10254913,0,0
13,Georgia,GQ population (RELP=16-17),264562,0,0
13,Georgia,GQ institutional population (RELP=16),140405,91,150
13,Georgia,GQ noninstitutional population (RELP=17),124157,91,150
13,Georgia,Total males (SEX=1),5118852,4863,8000
13,Georgia,Total females (SEX=2),5400623,4863,8000
13,Georgia,Age 0-4,644934,3703,6092
13,Georgia,Age 5-9,680785,8217,13517
13,Georgia,Age 10-14,742123,7975,13119
13,Georgia,Age 15-19,753582,6650,10940
13,Georgia,Age 20-24,716027,6457,10622
13,Georgia,Age 25-34,1444918,6898,11347
13,Georgia,Age 35-44,1403417,6045,9944
13,Georgia,Age 45-54,1393829,5903,9710
13,Georgia,Age 55-59,664761,7086,11656
